TIME_PERIOD,REF_AREA,OBS_VALUE
2014,IT,41.0
2015,IT,41.0
2016,IT,43.0
2017,IT,43.4264
2018,IT,45.5894
2019,IT,47.8803
1997,LT,84.376
1998,LT,89.6828
1999,LT,90.9712
2000,LT,88.2896
2001,LT,87.6044
2002,LT,83.9486
2003,LT,81.0208
2004,LT,78.8768
2005,LT,80.6343
2006,LT,82.4919
2007,LT,80.9067
2008,LT,81.2525
2009,LT,80.4751
2010,LT,78.834
2011,LT,84.745
2012,LT,83.6268
2013,LT,87.1045
2014,LT,85.7044
2015,LT,86.8483
2016,LT,87.1024
2017,LT,90.1331
2018,LT,90.9292
2019,LT,90.4434
1997,LU,22.89
1998,LU,24.5838
1999,LU,26.0827
2000,LU,26.2723
2001,LU,27.97
2002,LU,30.29
2003,LU,35.99
2004,LU,34.08
2005,LU,34.54
2006,LU,31.54
2007,LU,30.58
2008,LU,29.71
2009,LU,29.31
2010,LU,31.11
2011,LU,31.21
2012,LU,33.08
2013,LU,33.72
2014,LU,31.95
2015,LU,31.27
2016,LU,27.63
2017,LU,26.17905012
2018,LU,26.30834911
2019,LU,27.68403583
1997,LV,53.0166
1998,LV,60.8786
1999,LV,60.6525
2000,LV,60.9048
2001,LV,63.3567
2002,LV,65.2661
2003,LV,63.0855
2004,LV,62.4055
2005,LV,67.3293
2006,LV,69.1679
2007,LV,67.2426
2008,LV,70.2428
2009,LV,69.3477
2010,LV,60.4275
2011,LV,59.5668
2012,LV,64.0513
2013,LV,64.1342
2014,LV,63.6027
2015,LV,64.5794
2016,LV,66.6028
2017,LV,73.5977
2018,LV,80.9268
2019,LV,83.1834
1999,MT,85.9188
2000,MT,82.0208
2001,MT,79.9093
2002,MT,82.4338
2003,MT,77.6818
2004,MT,78.45
2005,MT,75.2817
2006,MT,70.9312
2007,MT,70.2221
2008,MT,72.8263
2009,MT,72.791
2010,MT,71.2772
2011,MT,71.9646
2012,MT,74.4369
2013,MT,76.4834
2014,MT,81.4914
2015,MT,81.3186
2016,MT,80.2737
2017,MT,80.8522
2018,MT,77.5217
2019,MT,75.1375
1997,NL,79.42
1998,NL,81.69
1999,NL,82.25
2000,NL,81.14
2001,NL,82.5
2002,NL,82.71
2003,NL,84.17
2004,NL,84.02
2005,NL,84.46
2006,NL,85.07
2007,NL,86.33
2008,NL,86.7323
2009,NL,85.0837
2010,NL,84.2003
2011,NL,83.5576
2012,NL,82.0688
2013,NL,83.8272
2014,NL,85.0114
2015,NL,84.5935
2016,NL,84.72
2017,NL,83.84
2018,NL,84.6654
2019,NL,84.7118
2000,PL,46.4981
2001,PL,54.4968
2002,PL,53.226
2003,PL,52.0228
2004,PL,50.0479
2005,PL,48.5072
2006,PL,46.1066
2007,PL,46.6029
2008,PL,44.2178
2009,PL,43.9275
2010,PL,43.3708
2011,PL,43.6871
2012,PL,44.3972
2013,PL,45.2372
2014,PL,48.3138
2015,PL,48.6255
2016,PL,47.7322
2017,PL,47.5108
2018,PL,49.5085
2019,PL,49.7955
1997,PT,45.587
1998,PT,44.7927
1999,PT,44.1568
2000,PT,59.1842
2001,PT,59.8227
2002,PT,60.4738
2003,PT,62.7156
2004,PT,66.5372
2005,PT,68.7674
2006,PT,67.9279
2007,PT,67.81
2008,PT,69.0969
2009,PT,70.1484
2010,PT,70.8641
2011,PT,70.7554
2012,PT,69.9483
2013,PT,70.2613
2014,PT,69.23
2015,PT,72.32
2016,PT,71.2
2017,PT,73.12
2018,PT,72.95
2019,PT,73.34
2003,RO,55.2
2004,RO,59.5
2005,RO,59.4
2006,RO,60.1
2007,RO,56.3
2008,RO,54.0
2009,RO,52.4
2010,RO,52.7
2011,RO,54.6
2012,RO,54.7
2013,RO,54.4
2014,RO,54.2
2015,RO,57.4
2016,RO,59.1
2017,RO,59.5
2018,RO,61.6
2019,RO,62.6
1997,SE,57.6107
1998,SE,55.5241
1999,SE,55.5757
2000,SE,56.6963
2001,SE,54.5639
2002,SE,56.0045
2003,SE,53.7853
2004,SE,54.4029
2005,SE,57.2574
2006,SE,57.7914
2007,SE,61.014
2008,SE,61.8676
2009,SE,60.6607
2010,SE,57.7753
2011,SE,57.8145
2012,SE,57.4171
2013,SE,58.2585
2014,SE,58.5369
2015,SE,57.8337
2016,SE,56.2789
2017,SE,58.1807
2018,SE,54.2849
2019,SE,54.8516
1997,SI,65.7249
1998,SI,66.7879
1999,SI,67.3425
2000,SI,60.9914
2001,SI,67.6328
2002,SI,68.3979
2003,SI,66.4099
2004,SI,64.6109
2005,SI,63.0031
2006,SI,61.994
2007,SI,59.4819
2008,SI,59.1372
2009,SI,59.6544
2010,SI,59.2733
2011,SI,59.3253
2012,SI,58.3545
2013,SI,57.0844
2014,SI,55.6131
2015,SI,59.1523
2016,SI,60.9873
2017,SI,61.5346
2018,SI,60.7856
2019,SI,60.9267
1997,SK,63.3143
1998,SK,58.4696
1999,SK,60.7666
2000,SK,62.9537
2001,SK,66.1131
2002,SK,66.3792
2003,SK,67.4678
2004,SK,66.5157
2005,SK,67.7262
2006,SK,66.8522
2007,SK,68.152
2008,SK,71.55
2009,SK,72.09
2010,SK,72.03
2011,SK,72.227395
2012,SK,70.721
2013,SK,70.3166
2014,SK,70.6866
2015,SK,72.3006
2016,SK,72.7195
2017,SK,74.5402
2018,SK,75.5672
2019,SK,75.6925
